date,M421,M422,M142,M420,M428,M419,M040
11/09/1985,23.67209,25.09667,17.9361,22.67952,21.66439,22.92206,29.3225
12/09/1985,24.81285,26.09984,19.09315,23.36844,22.41678,23.74093,30.44793
13/09/1985,23.76264,24.9387,20.10345,22.23981,21.19813,22.46355,29.66474
14/09/1985,20.88477,21.79237,19.73463,19.63853,18.33979,19.60865,27.49461
15/09/1985,23.49583,24.23692,18.84635,22.52905,20.45897,22.1543,29.6434
16/09/1985,23.58424,24.1556,18.07013,22.13936,20.20176,21.63651,29.37851
17/09/1985,20.44951,21.56455,17.27065,19.21157,17.88222,19.18693,26.40544
18/09/1985,22.26522,22.59424,16.09575,21.32579,18.8263,20.46082,28.636
19/09/1985,23.74483,24.68097,16.6991,22.43853,21.23414,22.57838,30.7476
20/09/1985,21.01833,21.65069,18.38762,19.90089,17.84471,19.42867,28.03472
21/09/1985,22.64847,23.53593,18.75995,21.48105,20.14754,21.17942,29.88404
22/09/1985,23.38756,24.13127,16.63395,22.20832,20.41261,22.06664,29.21247
23/09/1985,25.52877,26.24721,18.10747,24.17802,22.18336,24.13257,29.43784
24/09/1985,24.39386,25.08899,18.83822,23.15537,20.85216,22.7243,28.22504
25/09/1985,21.88802,23.16623,18.3445,20.58299,19.35151,20.87516,27.98271
26/09/1985,22.31129,22.95821,17.00028,21.1703,19.98014,21.1279,29.36073
27/09/1985,21.81229,22.28224,18.08446,21.1017,18.83492,20.53076,29.67987
28/09/1985,21.3206,21.72363,18.46862,21.10046,18.44058,20.26953,28.75052
29/09/1985,18.04084,18.53355,20.5618,17.83152,15.66265,17.06897,26.7615
30/09/1985,20.66562,21.3018,18.25844,20.3409,17.99057,19.70171,28.64224
01/10/1985,22.77603,23.14841,16.25122,21.45284,19.78464,20.90766,29.37192
02/10/1985,21.26971,22.41913,17.4021,20.20698,19.15189,20.76214,27.94149
03/10/1985,21.76509,22.57639,17.9683,20.90603,19.32165,20.42232,28.02106
04/10/1985,21.21433,22.92345,17.33688,19.37172,19.61903,20.16173,28.80229
05/10/1985,22.04574,22.99779,16.31292,20.50284,19.84467,20.51997,28.40265
06/10/1985,22.81779,23.31867,22.39812,21.69328,19.76535,21.05407,28.09925
07/10/1985,25.2119,26.13936,18.89741,23.82321,22.35472,23.86075,29.24655
08/10/1985,24.21746,25.16929,18.52102,22.40513,21.58674,22.54415,29.97828
09/10/1985,23.44134,24.61642,18.42933,21.78387,20.9386,21.9954,29.49939
10/10/1985,21.8256,23.02037,18.65751,20.38913,19.33188,20.90704,27.6086
11/10/1985,20.99224,22.74853,20.48263,19.3096,19.46112,20.0735,27.45983
12/10/1985,20.11474,22.58196,18.47827,18.38601,19.68644,20.18284,28.05326
13/10/1985,19.84602,21.4005,17.19106,17.99019,18.23442,18.83813,27.88881
14/10/1985,21.23859,22.00799,16.33612,19.54746,18.15899,19.35302,27.02424
15/10/1985,24.95921,25.71503,16.65554,23.23375,21.83383,23.16951,29.51073
16/10/1985,24.1284,24.77542,19.14253,22.5286,20.51444,21.9623,29.15299
17/10/1985,22.04457,22.4688,19.18131,20.7194,19.28638,20.04218,29.53902
18/10/1985,22.25448,23.59507,15.79465,21.35106,20.57894,22.39431,28.65484
19/10/1985,22.61136,22.7421,19.5204,21.97326,19.39325,21.18913,29.06247
20/10/1985,22.12061,21.90846,19.07451,22.03991,18.35873,20.30806,29.36069
21/10/1985,23.20163,23.52257,17.49387,22.50197,20.06724,21.75688,29.2736
22/10/1985,25.48365,25.60325,17.47353,24.45142,21.90576,23.30609,30.82353
