date,M421,M422,M142,M420,M428,M419,M040
12/11/1985,15.29861,16.4745,2.999987,14.40972,13.7802,14.82039,25.20769
13/11/1985,14.30673,15.51404,2.965141,13.48539,12.90049,14.00042,24.19839
14/11/1985,13.55608,14.96086,2.965798,12.52729,12.76215,13.67635,24.57369
15/11/1985,13.97043,15.39462,2.584649,13.07746,12.74142,13.67545,24.46189
16/11/1985,13.60554,15.00322,4.238026,12.61781,12.65344,13.19545,24.32174
17/11/1985,13.73044,15.33765,3.588508,12.38734,12.74196,13.47017,23.68141
18/11/1985,12.8006,14.47659,3.577864,11.76314,12.14302,12.7939,22.72922
19/11/1985,14.14383,15.52194,4.039361,13.02314,13.11519,13.66249,24.0149
20/11/1985,13.42413,15.04686,3.983976,12.32422,13.05195,13.51939,24.48202
21/11/1985,14.24278,15.55891,3.947777,12.8321,13.07056,13.72078,24.77957
22/11/1985,12.99936,14.34095,3.411748,11.91645,12.40774,12.80254,25.24269
23/11/1985,9.901462,10.97544,4.688337,8.566026,9.162332,9.727965,23.68902
24/11/1985,8.093394,9.906518,5.729552,6.8069,8.889982,8.752721,23.70261
25/11/1985,9.171762,10.67033,4.807751,8.164057,8.993139,9.432686,23.40618
26/11/1985,7.891368,9.923821,5.177237,7.231132,8.769417,9.007141,23.17801
